run_id,scene,task,hops,passed,milestones_done,milestones_trackable,milestones_total,milestones_presatisfied,steps_used,termination,agent_mode,channel,model,max_steps,milestone_hint,codex_effort,codex_timeout,model_server,prolong_log_window,prolong_stateless,serving,trustworthy,invalid_reason,commit,slurm_job,submitted_at
20260815-235643-prolong-gpt56-v3-0313-0544-557a,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,True,2,2,2,0,50,agent_esc,,codex,gpt-5.6-sol,,,,,,,,,False,VARIANT: vision-on-demand prolong (no frame attached per turn),7bfa59a3a255,2956637,2026-08-15 23:56:43 CDT
20260815-235931-s0802-qwen-vllm-default-0602,0802,Walk to the stone brick building ahead and open the oak door.,1,False,0,1,1,0,4,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,PROTOCOL: no-hint,7bfa59a3a255,2956644,2026-08-15 23:59:32 CDT
20260815-235932-s0802-qwen-vllm-hypothesis-1799,0802,Walk to the stone brick building ahead and open the oak door.,1,False,0,1,1,0,5,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,PROTOCOL: no-hint,7bfa59a3a255,2956645,2026-08-15 23:59:33 CDT
20260815-235934-s0802-qwen-codex-hypothesis-64fa,0802,Walk to the stone brick building ahead and open the oak door.,1,False,0,1,1,0,3,agent_esc,,codex,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,PROTOCOL: no-hint,7bfa59a3a255,2956647,2026-08-15 23:59:35 CDT
20260815-235937-s0802-gpt56-codex-hypothesis-2154,0802,Walk to the stone brick building ahead and open the oak door.,1,True,1,1,1,0,300,max_steps,,codex,gpt-5.6-sol,,,,,,,,,False,PROTOCOL: no-hint,7bfa59a3a255,2956650,2026-08-15 23:59:38 CDT
20260815-235938-s0802-gpt56-codex-prolong-3235,0802,Walk to the stone brick building ahead and open the oak door.,1,True,1,1,1,0,70,agent_esc,,codex,gpt-5.6-sol,,,,,,,,,False,VARIANT: vision-on-demand prolong (launched before the fix),7bfa59a3a255,2956651,2026-08-15 23:59:39 CDT
20260816-042915-h-qwen38-default-0313-v2-23ba,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,40,max_steps,default,codex,Qwen/Qwen3.8-27B,40,True,low,,qwen38-27b,,,"think-on,nocap",False,"TRUNCATED: hit the 40-step probe cap at 1/2; the matrix cap is 300, so this says nothing about the arm",8ec8448885e5,2957531,2026-08-16 04:29:16 CDT
20260816-042916-h-qwen38-prolong-0313-v2-53a1,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,23,agent_esc,prolong,codex,Qwen/Qwen3.8-27B,40,True,low,,qwen38-27b,,,"think-on,nocap",True,,8ec8448885e5,2957532,2026-08-16 04:29:17 CDT
20260816-070154-m1-qwen38-default-0313-11b2,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,20,agent_esc,default,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,bc34da1081cc,2957992,2026-08-16 07:01:55 CDT
20260816-070155-m1-qwen38-prolong-0313-02bf,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,60,agent_esc,prolong,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,bc34da1081cc,2957993,2026-08-16 07:01:56 CDT
20260816-073622-m1-qwen38-default-0802-423f,0802,Walk to the stone brick building ahead and open the oak door.,1,True,1,1,1,0,26,agent_esc,default,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,bc34da1081cc,2958114,2026-08-16 07:36:23 CDT
20260816-073623-m1-qwen38-prolong-0802-15e2,0802,Walk to the stone brick building ahead and open the oak door.,1,True,1,1,1,0,58,agent_esc,prolong,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,bc34da1081cc,2958115,2026-08-16 07:36:24 CDT
20260816-081254-m1-qwen38-prolong-0313-s2-4deb,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,45,agent_esc,prolong,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,949e7aba68c8,2958192,2026-08-16 08:12:55 CDT
20260816-081255-m1-qwen38-prolong-0313-s3-040b,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,80,agent_esc,prolong,codex,Qwen/Qwen3.8-27B,150,True,low,,qwen38-27b,,,"think-on,nocap",True,,949e7aba68c8,2958193,2026-08-16 08:12:55 CDT
20260816-144322-probe40-qwen38-prolong-0313-632c,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,40,max_steps,prolong,codex,Qwen/Qwen3.8-27B,40,True,low,,qwen38-27b-probe,,False,,True,,6db5467add83,2959489,2026-08-16 14:43:22 CDT
20260816-152559-axis-gpt56-default-0694-52c7,0694,"Explore the area: find the tall stone cliff, locate the packed ice at its base, follow the stone slab path, and find the iron door on the stone brick building at the end of the path.",4,False,3,4,4,0,400,max_steps,default,codex,gpt-5.6-sol,400,True,xhigh,,,,,,True,,6db5467add83,2959633,2026-08-16 15:26:00 CDT
